gene_name	gene_id	genome_id	start	stop	strand
K03220	NZ_UUON01000033.1_37	NZ_UUON01000033.1	42751	43644	1
K04487	PCXC01000081.1_25	PCXC01000081.1	24540	25694	-1
K03702	NZ_CP070969.1_5282	NZ_CP070969.1	5716602	5718593	-1
K01873	DGTK01000016.1_199	DGTK01000016.1	228879	231524	1
K03111	NZ_CP012160.1_1363	NZ_CP012160.1	1329711	1330232	-1
K02441	CP014943.1_1859	CP014943.1	2204703	2205563	1
K15894	NZ_KB894491.1_377	NZ_KB894491.1	430732	431733	1
K02621	JADKEH010000007.1_153	JADKEH010000007.1	174154	176547	1
K13292	NZ_JACSET010000007.1_64	NZ_JACSET010000007.1	77599	78588	1
K00995	WKKR01000001.1_117	WKKR01000001.1	131272	131862	1
K07056	CAAGIZ010000052.1_8	CAAGIZ010000052.1	7969	8676	-1
K03704	JAFGJB010000234.1_29	JAFGJB010000234.1	30487	30690	-1
K07814	JAAERL010000021.1_15	JAAERL010000021.1	11829	13007	-1
K09898	NZ_JENB01000062.1_20	NZ_JENB01000062.1	21285	21512	-1
K00942	JAFUZJ010000028.1_4	JAFUZJ010000028.1	2243	2827	1
K03797	CAIQIE010000250.1_7	CAIQIE010000250.1	5869	7773	1
K00278	PBBL01000008.1_60	PBBL01000008.1	82313	83920	-1
K03530	NZ_CP036292.1_694	NZ_CP036292.1	968045	968347	1
K12573	NZ_NIVQ01000017.1_30	NZ_NIVQ01000017.1	28201	30657	1
K02622	NZ_PEFF01000001.1_5165	NZ_PEFF01000001.1	5722279	5724267	1
K01662	NZ_BBPH01000009.1_26	NZ_BBPH01000009.1	23154	25079	1
K14742	NZ_CP064873.1_799	NZ_CP064873.1	846943	847614	1
K03688	PHEQ01000002.1_134	PHEQ01000002.1	135060	136592	-1
K06168	NZ_JAANOY010000001.1_50	NZ_JAANOY010000001.1	58805	60361	1
K03723	JAEDCY010000004.1_49	JAEDCY010000004.1	52647	56264	1
K21087	NZ_FLQY01000137.1_21	NZ_FLQY01000137.1	19024	19827	-1
K04053	NZ_CP009747.1_3023	NZ_CP009747.1	3542848	3543219	1
K15987	JACQXE010000056.1_17	JACQXE010000056.1	23323	25404	1
K03168	NZ_MKIE01000002.1_95	NZ_MKIE01000002.1	93045	95123	1
K00950	NZ_CP017111.1_378	NZ_CP017111.1	376830	377297	1
K00919	JAIKZI010000015.1_12	JAIKZI010000015.1	10431	11309	-1
K03179	NZ_CP021416.1_186	NZ_CP021416.1	173659	174528	1
K02014	JAFOMG010000011.1_61	JAFOMG010000011.1	51156	54122	-1
K04060	NZ_AYTD01000013.1_305	NZ_AYTD01000013.1	280322	280657	-1
K03657	CALYQE010000047.1_8	CALYQE010000047.1	7044	9308	1
K00943	DHCD01000031.1_85	DHCD01000031.1	77953	78600	-1
K07305	NZ_JAFCLS010000077.1_17	NZ_JAFCLS010000077.1	17114	17614	1
K03413	CAJOOB010000034.1_5	CAJOOB010000034.1	1805	2167	-1
K03412	CAJUDM010000017.1_13	CAJUDM010000017.1	11689	12756	-1
K03406	JAGOHK010000042.1_6	JAGOHK010000042.1	5855	7882	-1
K04061	NZ_CP046622.1_4190	NZ_CP046622.1	4545367	4545669	-1
K00928	NZ_JACFYZ010000001.1_1163	NZ_JACFYZ010000001.1	1251482	1252720	1
K03569	JAAZEL010000038.1_69	JAAZEL010000038.1	68468	69484	-1
K02341	JALELK010000004.1_25	JALELK010000004.1	21158	22147	-1
K03415	NZ_CP039268.1_1644	NZ_CP039268.1	1865624	1866547	-1
K10942	NZ_JAAZTU010000009.1_44	NZ_JAAZTU010000009.1	41903	42958	1
K03496	NZ_JRUD01000008.1_103	NZ_JRUD01000008.1	98974	99759	-1
K13584	NZ_JAKSXV010000008.1_1	NZ_JAKSXV010000008.1	1	681	-1
K03706	ONHG01000003.1_85	ONHG01000003.1	87665	88441	-1
K01872	JAJYQO010000080.1_5	JAJYQO010000080.1	3782	6427	1
K00575	NZ_FNUD01000002.1_4180	NZ_FNUD01000002.1	4626746	4627573	-1
K02391	NZIH01000055.1_3	NZIH01000055.1	1850	2599	-1
K03407	SCVA01000016.1_12	SCVA01000016.1	14528	16267	1
K02242	DGYW01000029.1_93	DGYW01000029.1	93238	93924	1
K13587	PLRV01000015.1_58	PLRV01000015.1	61032	63095	1
K02397	NZ_JAIMBW010000001.1_2959	NZ_JAIMBW010000001.1	3029875	3030885	1
K03414	CAIJRK010000046.1_6	CAIJRK010000046.1	3990	4631	1
K06204	NC_017059.1_250	NC_017059.1	284176	284541	1
K02967	JAJTEL010000002.1_173	JAJTEL010000002.1	174792	176249	1
K03801	JAGRDS010000031.1_18	JAGRDS010000031.1	14714	15355	-1
K03411	NZ_JAFBDU010000001.1_1255	NZ_JAFBDU010000001.1	1159062	1159562	-1
K03602	NZ_ACZP01000006.1_51	NZ_ACZP01000006.1	54300	54569	1
K03408	CAKVKB010000012.1_41	CAKVKB010000012.1	48436	48837	1
K01940	NZ_JAHBDR010000051.1_40	NZ_JAHBDR010000051.1	43608	44825	1
K01465	NZ_CP042427.1_125	NZ_CP042427.1	137985	139028	1
K03581	JAFYMC010000028.1_33	JAFYMC010000028.1	28299	30518	-1
K00566	JAGHZU010000012.1_9	JAGHZU010000012.1	10745	11971	1
K06313	NZ_JAQV02000002.1_102	NZ_JAQV02000002.1	97445	98794	-1
K02423	WFNM01000141.1_2	WFNM01000141.1	744	998	-1
K04096	NZ_JAKEIP010000054.1_25	NZ_JAKEIP010000054.1	25046	26209	1
K09808	NZ_JAAAMT010000002.1_112	NZ_JAAAMT010000002.1	119038	120270	-1
K02413	NZ_LMLA01000007.1_270	NZ_LMLA01000007.1	296891	297313	1
K03683	NZ_BMQI01000015.1_77	NZ_BMQI01000015.1	83095	83757	1
K03088	NZ_AXBA01000041.1_40	NZ_AXBA01000041.1	37697	38170	1
K01939	NZ_AXAM01000002.1_57	NZ_AXAM01000002.1	66650	67942	1
K20976	NZ_CP067412.1_4821	NZ_CP067412.1	5398092	5398439	1
K20978	NZ_KB891585.1_543	NZ_KB891585.1	594052	594357	-1
K21603	JAHHDT010000007.1_65	JAHHDT010000007.1	69876	70544	-1
K03733	RCNQ01000257.1_2	RCNQ01000257.1	551	1447	1
K06949	NZ_PSSX01000001.1_172	NZ_PSSX01000001.1	185143	186198	-1
K09667	CP073746.1_2433	CP073746.1	2624899	2626845	1
K06886	NZ_LT906438.1_1073	NZ_LT906438.1	1167057	1167455	-1
K01126	NZ_JAJNOC010000004.1_374	NZ_JAJNOC010000004.1	439260	440024	1
K02414	NZ_JAMYXM010000007.1_82	NZ_JAMYXM010000007.1	74205	75578	1
K02390	CAJOOM010000051.1_7	CAJOOM010000051.1	3926	5242	1
K03667	NZ_JADMOL010000002.1_643	NZ_JADMOL010000002.1	703709	705109	1
K00344	NZ_CP067412.1_3704	NZ_CP067412.1	4141755	4142732	1
K03181	NZ_MODU01000004.1_2978	NZ_MODU01000004.1	3432731	3433285	1
K03529	CAMDAQ010000005.1_24	CAMDAQ010000005.1	30654	34427	1
K06213	NZ_CP039371.1_4300	NZ_CP039371.1	4760083	4761525	-1
K00945	NZ_AUCM01000009.1_176	NZ_AUCM01000009.1	165766	166365	1
K02529	JAEZKU010000021.1_10	JAEZKU010000021.1	7738	8748	1
K02913	JAILJC010000044.1_11	JAILJC010000044.1	9320	9469	1
K03151	NZ_BCUF01000003.1_133	NZ_BCUF01000003.1	149756	151204	1
K12132	RHKP01000026.1_13	RHKP01000026.1	13590	14663	1
K07126	JACQFX010000051.1_39	JACQFX010000051.1	36893	37786	-1
K13590	NZ_JACOFV010000004.1_198	NZ_JACOFV010000004.1	226610	228289	-1
K21420	NZ_QHJY01000281.1_5	NZ_QHJY01000281.1	3797	4642	-1
K00997	JAGFZX010000003.1_93	JAGFZX010000003.1	104391	104768	-1
K00946	JAEZPL010000450.1_3	JAEZPL010000450.1	1636	2640	-1
K03220	NZ_JAINZP010000012.1_97	NZ_JAINZP010000012.1	112706	113641	-1
K04487	NZ_JAAZWE010000006.1_194	NZ_JAAZWE010000006.1	224578	225732	-1
K03702	NC_013854.1_1680	NC_013854.1	1809171	1811312	-1
K01873	CAKRLV010000003.1_117	CAKRLV010000003.1	140894	143536	1
K03111	CAJJAR010000018.1_42	CAJJAR010000018.1	37666	38187	1
K02441	NZ_QUOT01000001.1_2107	NZ_QUOT01000001.1	2429888	2430742	-1
K15894	JACUTT010000061.1_10	JACUTT010000061.1	6614	7621	-1
K02621	NZ_FXAK01000007.1_1749	NZ_FXAK01000007.1	1875443	1877668	1
K13292	JAKSTI010000017.1_23	JAKSTI010000017.1	23373	24365	1
K00995	JAJZRM010000044.1_7	JAJZRM010000044.1	5587	6159	1
K07056	JAGAOP010000060.1_89	JAGAOP010000060.1	100139	100882	-1
K03704	NZ_MLFS01000013.1_14	NZ_MLFS01000013.1	11671	11883	-1
K07814	JAFUVF010000064.1_72	JAFUVF010000064.1	67107	68207	-1
K09898	NZ_VFES01000006.1_80	NZ_VFES01000006.1	82869	83096	-1
K00942	JAFLRM010000059.1_13	JAFLRM010000059.1	10607	11194	-1
K03797	NZ_JAHKQH010000023.1_94	NZ_JAHKQH010000023.1	116384	117730	1
K00278	JACREU010000013.1_17	JACREU010000013.1	15287	16903	-1
K03530	JQIT01000008.1_162	JQIT01000008.1	149863	150138	-1
K12573	NZ_JPEO01000001.1_4	NZ_JPEO01000001.1	2377	4764	1
K02622	NSIV01000008.1_49	NSIV01000008.1	43536	45506	1
K01662	NZ_ASYV01000243.1_29	NZ_ASYV01000243.1	25379	26725	1
K14742	JAFOCI010000012.1_6	JAFOCI010000012.1	5759	6433	-1
K03688	NZ_SOBH01000003.1_216	NZ_SOBH01000003.1	213710	215176	1
K06168	SCQU01000013.1_92	SCQU01000013.1	104111	105484	1
K03723	PWQX01000189.1_2	PWQX01000189.1	906	4364	1
K21087	NZ_CP015579.1_3460	NZ_CP015579.1	3761076	3761783	-1
K04053	NZ_CP077093.1_3062	NZ_CP077093.1	3403988	3404344	1
K15987	CAJQSN010000113.1_12	CAJQSN010000113.1	8167	10263	1
K03168	NZ_JAAMQM010000001.1_384	NZ_JAAMQM010000001.1	349161	350180	1
K00950	JACXUD010000062.1_3	JACXUD010000062.1	1685	2143	1
K00919	NZ_QHLJ01000011.1_13	NZ_QHLJ01000011.1	8268	9032	-1
K03179	JAAFAI010000026.1_29	JAAFAI010000026.1	36032	36907	-1
K02014	DDPE01000035.1_43	DDPE01000035.1	38536	40941	-1
K04060	CALUUZ010000005.1_46	CALUUZ010000005.1	47814	48173	1
K03657	JAIKZX010000178.1_12	JAIKZX010000178.1	10718	12880	-1
K00943	JAFPWQ010000111.1_3	JAFPWQ010000111.1	2428	3003	1
K07305	JAIESI010000172.1_7	JAIESI010000172.1	6532	7077	1
K03413	NZ_JAERQY020000002.1_684	NZ_JAERQY020000002.1	760045	760437	1
K03412	NZ_CP080269.1_439	NZ_CP080269.1	422419	423693	1
K03406	LGRD01000002.1_514	LGRD01000002.1	595454	596800	-1
K04061	JAFGVR010000128.1_3	JAFGVR010000128.1	2894	3148	-1
K00928	NZ_MAUE01000045.1_410	NZ_MAUE01000045.1	448457	449698	1
K03569	CAJTTO010000005.1_84	CAJTTO010000005.1	103708	104700	-1
K02341	NC_014378.1_44	NC_014378.1	45897	46886	1
K03415	NZ_JAKILD010000007.1_133	NZ_JAKILD010000007.1	151253	152173	-1
K10942	CP007152.1_5008	CP007152.1	4254407	4255675	1
K03496	NZ_CP025263.1_4309	NZ_CP025263.1	4887096	4887884	-1
K13584	JANSXT010000017.1_50	JANSXT010000017.1	39374	40075	1
K03706	NZ_FQUG01000002.1_429	NZ_FQUG01000002.1	499535	500323	1
K01872	NZ_CP048263.1_1514	NZ_CP048263.1	1713365	1715998	1
K00575	NZ_LLEI02000032.1_402	NZ_LLEI02000032.1	445888	446715	-1
K02391	JAJTDK010000071.1_12	JAJTDK010000071.1	8561	9322	1
K03407	NZ_CP025085.1_2193	NZ_CP025085.1	2493639	2495666	1
K02242	NZ_FOCJ01000003.1_384	NZ_FOCJ01000003.1	418284	419264	1
K13587	JANSWZ010000008.1_132	JANSWZ010000008.1	134423	137029	-1
K02397	NZ_JAECRZ010000028.1_8	NZ_JAECRZ010000028.1	10530	11540	1
K03414	MKWM01000014.1_7	MKWM01000014.1	5301	5975	1
K06204	NZ_JABBYJ010000001.1_2132	NZ_JABBYJ010000001.1	2209336	2209752	1
K02967	NZ_JRPA02000001.1_67	NZ_JRPA02000001.1	69740	70528	1
K03801	NZ_JAFCJX010000006.1_293	NZ_JAFCJX010000006.1	281264	281998	1
K03411	JAJBTL010000279.1_1	JAJBTL010000279.1	263	796	1
K03602	NZ_CDBR01000034.1_133	NZ_CDBR01000034.1	135136	135387	-1
K03408	SCQX01000054.1_12	SCQX01000054.1	10439	10945	-1
K01940	JAJOJJ010000018.1_87	JAJOJJ010000018.1	101966	103186	-1
K01465	NZ_KB899092.1_234	NZ_KB899092.1	251754	252800	1
K03581	JAFOCU010000018.1_2	JAFOCU010000018.1	428	2665	1
K00566	JAHJQZ010000007.1_9	JAHJQZ010000007.1	8022	9170	1
K06313	NZ_KB905557.1_122	NZ_KB905557.1	127045	128400	-1
K02423	NZ_CP051154.1_3829	NZ_CP051154.1	4037784	4038110	-1
K04096	NZ_JAERRK010000013.1_112	NZ_JAERRK010000013.1	134665	135867	-1
K09808	JAIUMV010000003.1_190	JAIUMV010000003.1	201162	202403	1
K02413	NZ_CP033365.1_2067	NZ_CP033365.1	2163427	2163810	-1
K03683	NZ_CP073347.1_1967	NZ_CP073347.1	2238272	2238928	1
K03088	CADCAK010000043.1_5	CADCAK010000043.1	3520	4080	-1
K01939	NZ_CP062500.1_257	NZ_CP062500.1	289226	290542	1
K20976	NZ_JPMY01000031.1_62	NZ_JPMY01000031.1	56244	56594	-1
K20978	NZ_JAJSPR010000035.1_50	NZ_JAJSPR010000035.1	49495	49800	1
K21603	NZ_OCPC01000004.1_402	NZ_OCPC01000004.1	427969	428640	1
K03733	DGBM01000018.1_6	DGBM01000018.1	3676	4392	-1
K06949	NZ_JAEDAH010000091.1_60	NZ_JAEDAH010000091.1	59640	60671	1
K09667	JAJRRU010000006.1_32	JAJRRU010000006.1	38845	40848	1
K06886	NZ_ASJD01000004.1_51	NZ_ASJD01000004.1	38252	38650	1
K01126	NZ_FNUD01000002.1_2139	NZ_FNUD01000002.1	2395886	2396608	-1
K02414	NZ_PVZB01000024.1_101	NZ_PVZB01000024.1	99663	101099	1
K02390	DEIC01000048.1_30	DEIC01000048.1	28766	29416	-1
K03667	JAFGNN010000080.1_102	JAFGNN010000080.1	108357	109724	1
K00344	NZ_CABVIY010000008.1_58	NZ_CABVIY010000008.1	60370	61347	1
K03181	NZ_VIRW01000012.1_51	NZ_VIRW01000012.1	54607	55143	-1
K03529	SYCV01000057.1_95	SYCV01000057.1	108566	112207	-1
K06213	NZ_CP019431.1_4471	NZ_CP019431.1	5038964	5040406	-1
K00945	NZ_KK073875.1_3779	NZ_KK073875.1	4380919	4381614	-1
K02529	NZ_RBZP01000017.1_43	NZ_RBZP01000017.1	46159	47160	1
K02913	CAJUBE010000032.1_50	CAJUBE010000032.1	46098	46247	1
K03151	NZ_FUXB01000016.1_43	NZ_FUXB01000016.1	42631	44079	1
K12132	NZ_CP030032.1_3140	NZ_CP030032.1	4264015	4265739	1
K07126	CAMCRC010000023.1_28	CAMCRC010000023.1	32505	33224	1
K13590	JADLDQ010000061.1_8	JADLDQ010000061.1	6782	8398	1
K21420	JAEPQA010000001.1_369	JAEPQA010000001.1	389362	390078	1
K00997	JAFVEZ010000004.1_55	JAFVEZ010000004.1	60237	60605	-1
K00946	JAEULB010000019.1_16	JAEULB010000019.1	12222	13178	1
K03220	NZ_PDJB01000001.1_743	NZ_PDJB01000001.1	862533	863435	1
K04487	JAFGUR010000137.1_11	JAFGUR010000137.1	8809	9978	1
K03702	NZ_CP009286.1_4706	NZ_CP009286.1	5146768	5148759	-1
K01873	CAJUDE010000023.1_113	CAJUDE010000023.1	94571	97225	-1
K03111	CAJXTP010000374.1_3	CAJXTP010000374.1	1690	2109	1
K02441	CCKK01000028.1_41	CCKK01000028.1	36728	37570	1
K15894	JAFIEB010000064.1_10	JAFIEB010000064.1	8072	9169	1
K02621	NZ_CP066783.1_1196	NZ_CP066783.1	1322962	1325352	1
K13292	PGXR01000306.1_2	PGXR01000306.1	697	1719	1
K00995	NZ_CP015519.1_535	NZ_CP015519.1	573379	573966	1
K07056	JAEWSQ010000012.1_104	JAEWSQ010000012.1	116763	117470	1
K03704	NZ_QCZG01000007.1_77	NZ_QCZG01000007.1	75961	76158	-1
K07814	JAILAN010000161.1_28	JAILAN010000161.1	33773	34858	1
K09898	NZ_MRCS01000021.1_59	NZ_MRCS01000021.1	67281	67508	1
K00942	JAGPKJ010000038.1_18	JAGPKJ010000038.1	17205	17792	-1
K03797	NZ_MSCH01000003.1_993	NZ_MSCH01000003.1	1076342	1077709	1
K00278	JAAELY010000553.1_11	JAAELY010000553.1	12262	13917	-1
K03530	NZ_LR732816.1_710	NZ_LR732816.1	733837	734115	1
K12573	NZ_FQXG01000005.1_248	NZ_FQXG01000005.1	276158	278545	-1
K02622	CAJYQL010000059.1_7	CAJYQL010000059.1	4962	6932	1
K01662	NZ_CP021416.1_249	NZ_CP021416.1	234021	235853	1
K14742	DBWY01000007.1_126	DBWY01000007.1	145725	146420	1
K03688	NZ_JAAIKE010000002.1_514	NZ_JAAIKE010000002.1	536383	537912	1
K06168	NZ_CP088251.1_899	NZ_CP088251.1	987567	988913	-1
K03723	JAAVAP010000013.1_341	JAAVAP010000013.1	366681	370418	1
K21087	NZ_FNEQ01000002.1_137	NZ_FNEQ01000002.1	145180	145938	1
K04053	SLJM01000119.1_14	SLJM01000119.1	16923	17372	1
K15987	JAGREA010000286.1_3	JAGREA010000286.1	1117	3213	1
K03168	CALXVV010000031.1_12	CALXVV010000031.1	14249	16714	-1
K00950	CP064987.1_785	CP064987.1	949299	949778	-1
K00919	JAHHTD010000002.1_46	JAHHTD010000002.1	49646	50398	1
K03179	JAFLJV010000212.1_21	JAFLJV010000212.1	17350	18210	-1
K02014	NZ_CP049109.1_1522	NZ_CP049109.1	1579652	1582144	1
K04060	NZ_VLLA01000056.1_13	NZ_VLLA01000056.1	16063	16491	-1
K03657	UBUL01000015.1_58	UBUL01000015.1	63234	65699	-1
K00943	CAKQYS010000020.1_25	CAKQYS010000020.1	26247	26870	-1
K07305	RXJJ01000012.1_201	RXJJ01000012.1	198198	198716	1
K03413	NZ_CP045403.1_1818	NZ_CP045403.1	1752108	1752470	1
K03412	NC_014219.1_1782	NC_014219.1	1957760	1958842	1
K03406	NZ_QAJR01000010.1_173	NZ_QAJR01000010.1	193591	196296	1
K04061	NZ_CP050695.1_2183	NZ_CP050695.1	2335500	2335784	1
K00928	NZ_NEFZ01000001.1_346	NZ_NEFZ01000001.1	349636	350916	1
K03569	NZ_WHNY01000065.1_117	NZ_WHNY01000065.1	136083	137081	-1
K02341	DURQ01000090.1_40	DURQ01000090.1	40522	41451	-1
K03415	NZ_AQOH01000080.1_9	NZ_AQOH01000080.1	8298	9224	1
K10942	NZ_AUHJ01000002.1_158	NZ_AUHJ01000002.1	171366	172499	1
K03496	JAHJYA010000080.1_7	JAHJYA010000080.1	6297	7085	1
K13584	NZ_BBWH01000028.1_149	NZ_BBWH01000028.1	164095	164790	-1
K03706	DMYD01000042.1_53	DMYD01000042.1	62125	62910	1
K01872	NZ_CP090423.1_1532	NZ_CP090423.1	1685141	1687789	-1
K00575	NZ_NISX01000022.1_9	NZ_NISX01000022.1	5877	6707	1
K02391	DVIZ01000049.1_30	DVIZ01000049.1	26090	26800	1
K03407	NZ_VANI01000001.1_152	NZ_VANI01000001.1	196216	198282	1
K02242	NZ_FVZB01000006.1_227	NZ_FVZB01000006.1	221901	222575	-1
K13587	JANJTZ010000053.1_61	JANJTZ010000053.1	55761	58355	-1
K02397	NZ_JAELVR010000006.1_33	NZ_JAELVR010000006.1	31270	32277	-1
K03414	NZ_CP090064.1_2542	NZ_CP090064.1	2665868	2666524	-1
K06204	CAMCWK010000019.1_9	CAMCWK010000019.1	10434	10850	1
K02967	NZ_CP095073.1_2773	NZ_CP095073.1	2698120	2698863	-1
K03801	NZ_PYWB01000011.1_91	NZ_PYWB01000011.1	81509	82279	-1
K03411	JAOALK010000008.1_56	JAOALK010000008.1	51871	52368	1
K03602	NZ_APHW01000007.1_45	NZ_APHW01000007.1	48727	48969	-1
K03408	NZ_AUFV01000002.1_210	NZ_AUFV01000002.1	230707	231171	1
K01940	NZ_ATLO01000004.1_97	NZ_ATLO01000004.1	108811	110028	1
K01465	NZ_JAAVUX010000001.1_22	NZ_JAAVUX010000001.1	21299	22345	1
K03581	JAILGS010000090.1_9	JAILGS010000090.1	7169	9436	1
K00566	NZ_BFBR01000007.1_59	NZ_BFBR01000007.1	65371	66582	-1
K06313	NZ_AP022842.1_2706	NZ_AP022842.1	2652739	2654085	-1
K02423	NZ_CP042856.1_71	NZ_CP042856.1	62815	63111	1
K04096	NZ_QFDQ01000177.1_53	NZ_QFDQ01000177.1	53695	54855	1
K09808	JAHFSE010000031.1_8	JAHFSE010000031.1	5816	7057	1
K02413	WTIQ01000017.1_10	WTIQ01000017.1	7511	7930	-1
K03683	NZ_CDCA01000037.1_149	NZ_CDCA01000037.1	162568	163230	1
K03088	NZ_CP067100.1_6102	NZ_CP067100.1	6411919	6412464	-1
K01939	CACXAK010000003.1_12	CACXAK010000003.1	9966	11249	1
K20976	NZ_QGGU01000008.1_52	NZ_QGGU01000008.1	54653	54970	-1
K20978	NC_021505.1_1413	NC_021505.1	1644116	1644421	1
K21603	NZ_JACJVI010000001.1_544	NZ_JACJVI010000001.1	536924	537595	1
K03733	JAEWYD010000197.1_4	JAEWYD010000197.1	2461	3357	-1
K06949	NZ_CP072913.1_519	NZ_CP072913.1	610518	611549	-1
K09667	NZ_BAYB01000023.1_59	NZ_BAYB01000023.1	70151	73027	-1
K06886	NZ_LPVF01000012.1_292	NZ_LPVF01000012.1	228927	229325	1
K01126	NZ_HE611065.1_61	NZ_HE611065.1	52822	53532	-1
K02414	MWEV01000193.1_14	MWEV01000193.1	13280	14407	1
K02390	JAIKYN010000340.1_1	JAIKYN010000340.1	1	360	1
K03667	QNBL01000133.1_7	QNBL01000133.1	5283	6659	1
K00344	NZ_RBZQ01000002.1_172	NZ_RBZQ01000002.1	208172	209149	1
K03181	NZ_MXQF01000018.1_23	NZ_MXQF01000018.1	24421	24966	1
K03529	JAFGTK010000061.1_11	JAFGTK010000061.1	8335	11862	1
K06213	JAJFIS010000031.1_43	JAJFIS010000031.1	27559	28983	1
K00945	NZ_OBEK01000002.1_601	NZ_OBEK01000002.1	611058	611738	-1
K02529	NZ_BCQW01000014.1_6	NZ_BCQW01000014.1	8214	9209	-1
K02913	JAILCB010000260.1_9	JAILCB010000260.1	6985	7134	-1
K03151	NZ_PYNW01000001.1_57	NZ_PYNW01000001.1	67020	68471	1
K12132	DCLA01000048.1_2	DCLA01000048.1	376	2190	1
K07126	CAJBBZ010000194.1_13	CAJBBZ010000194.1	10144	11475	1
K13590	NZ_QPGB01000008.1_10	NZ_QPGB01000008.1	12882	14747	1
K21420	JAEXKM010000365.1_11	JAEXKM010000365.1	7827	8600	1
K00997	JAGGTH010000050.1_21	JAGGTH010000050.1	21380	21745	-1
K00946	CALUWI010000016.1_16	CALUWI010000016.1	19829	20752	1
K03220	NZ_LKEG01000052.1_37	NZ_LKEG01000052.1	47439	48341	1
K04487	NZ_LYPA01000064.1_337	NZ_LYPA01000064.1	360517	361671	-1
K03702	NZ_CP026029.1_1926	NZ_CP026029.1	2159215	2161206	-1
K01873	DLAJ01000026.1_60	DLAJ01000026.1	51388	54054	-1
K03111	WFPZ01000287.1_3	WFPZ01000287.1	2022	2483	1
K02441	NZ_AJZM02000048.1_15	NZ_AJZM02000048.1	11201	12043	1
K15894	JAGXHZ010000160.1_2	JAGXHZ010000160.1	1151	2158	1
K02621	NZ_AMXF01000048.1_23	NZ_AMXF01000048.1	17914	20349	1
K13292	WQWU01000010.1_26	WQWU01000010.1	28230	29270	1
K00995	JAGVNP010000131.1_3	JAGVNP010000131.1	1059	1613	1
K07056	MVQN01000072.1_5	MVQN01000072.1	3603	4340	-1
K03704	NZ_LGHP01000001.1_2906	NZ_LGHP01000001.1	3307058	3307255	-1
K07814	JAFAYI010000024.1_293	JAFAYI010000024.1	356470	357654	-1
K09898	NZ_JABWRF020000001.1_680	NZ_JABWRF020000001.1	757087	757314	-1
K00942	JALETS010000218.1_13	JALETS010000218.1	9708	10301	-1
K03797	NZ_LT745775.1_605	NZ_LT745775.1	638209	639600	1
K00278	NZ_JAAIYA010000017.1_131	NZ_JAAIYA010000017.1	175816	177405	1
K03530	CAIXQV010000433.1_3	CAIXQV010000433.1	2724	3038	-1
K12573	NZ_LAVS01000025.1_12	NZ_LAVS01000025.1	8223	10640	-1
K02622	NZ_JAGGNW010000033.1_36	NZ_JAGGNW010000033.1	28296	30221	1
K01662	NZ_NXLR01000005.1_17	NZ_NXLR01000005.1	18274	20133	1
K14742	JAEUWH010000082.1_150	JAEUWH010000082.1	159504	160232	-1
K03688	NZ_GG697169.2_2597	NZ_GG697169.2	2542558	2544087	-1
K06168	NZ_RIBS01000001.1_319	NZ_RIBS01000001.1	382708	384135	-1
K03723	WGCU01000018.1_84	WGCU01000018.1	79122	82493	1
K21087	PWEB01000031.1_12	PWEB01000031.1	9688	10422	-1
K04053	JAFZZD010000526.1_4	JAFZZD010000526.1	994	1389	1
K15987	NZ_APMP01000035.1_27	NZ_APMP01000035.1	24581	26719	1
K03168	NZ_ADGY01000045.1_19	NZ_ADGY01000045.1	18166	20457	-1
K00950	NZ_JAAKZC010000017.1_25	NZ_JAAKZC010000017.1	22843	23319	1
K00919	NZ_PIRZ01000002.1_30	NZ_PIRZ01000002.1	31141	31884	-1
K03179	CM000855.1_72	CM000855.1	69495	70379	-1
K02014	NZ_CP084911.1_27	NZ_CP084911.1	39183	42623	1
K04060	USCL01000124.1_3	USCL01000124.1	2159	2569	-1
K03657	NZ_NHYL01000001.1_36	NZ_NHYL01000001.1	37299	39323	1
K00943	SVEC01000008.1_47	SVEC01000008.1	47852	48475	-1
K07305	NZ_JADPJI010000005.1_338	NZ_JADPJI010000005.1	364593	365105	1
K03413	NZ_JACSQA010000003.1_112	NZ_JACSQA010000003.1	118459	118821	-1
K03412	JAEZMD010000009.1_73	JAEZMD010000009.1	67843	68922	-1
K03406	SBFU01000280.1_5	SBFU01000280.1	1780	3846	-1
K04061	NZ_CAKMNW010000067.1_55	NZ_CAKMNW010000067.1	63778	64071	-1
K00928	NZ_CP070506.1_3964	NZ_CP070506.1	4402056	4403297	-1
K03569	JAFUJA010000029.1_28	JAFUJA010000029.1	29557	30552	-1
K02341	NZ_WACP01000023.1_8	NZ_WACP01000023.1	5242	6216	1
K03415	NZ_SNUB01000031.1_37	NZ_SNUB01000031.1	35740	36666	-1
K10942	NZ_JADDUM010000120.1_18	NZ_JADDUM010000120.1	12699	13913	-1
K03496	NZ_JAJAVQ010000001.1_759	NZ_JAJAVQ010000001.1	848377	849159	-1
K13584	UBWZ01000002.1_748	UBWZ01000002.1	792037	792738	1
K03706	NZ_JPVR01000080.1_366	NZ_JPVR01000080.1	355940	356719	-1
K01872	NZ_CP007597.1_2455	NZ_CP007597.1	2850685	2853333	-1
K00575	NZ_CP074572.1_739	NZ_CP074572.1	670437	671270	-1
K02391	JAFMBY010000054.1_9	JAFMBY010000054.1	9321	10082	-1
K03407	LDJB01000001.1_582	LDJB01000001.1	565204	567177	-1
